EmployeeID,Age,Gender,Education,Department,JobRole,JobLevel,MonthlyIncome,SalarySlab,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,NumCompaniesWorked,SickLeaveDays,AbsentDays,MaritalStatus,Attrition,JoiningDate
EMP10001,23,Male,Bachelor's,Research & Development,Laboratory Technician,1,25000,Very High,0,0,0,0,No,Travel_Frequently,22,High,Medium,High,Medium,3,18,3,5,0,1,18,Single,No,2013-12-03
EMP10002,26,Female,Master's,Marketing,Marketing Executive,2,13564,High,0,0,0,0,No,Travel_Rarely,15,Very High,Low,Low,Low,3,16,2,4,1,9,3,Married,No,2014-02-06
EMP10003,54,Female,Master's,Finance,Finance Manager,2,0,Very High,27,0,0,0,No,Travel_Frequently,20,Low,Low,High,Very High,3,18,1,4,3,4,1,Married,No,2015-04-01
EMP10004,28,Female,PhD,Human Resources,HR Executive,2,25000,Very High,3,2,2,1,No,Travel_Rarely,27,Very High,Medium,High,Medium,3,24,1,1,0,9,18,Single,No,2010-03-26
EMP10005,27,Female,Master's,Sales,Sales Executive,2,25000,Very High,1,1,0,1,No,Travel_Rarely,28,High,Medium,Medium,Low,3,17,1,1,3,8,18,Married,No,2017-10-04
EMP10006,36,Female,Bachelor's,Sales,Manager,2,25000,Very High,14,4,2,0,No,Travel_Frequently,22,High,Low,High,Low,3,19,3,0,3,4,9,Single,No,2025-04-23
EMP10007,36,Male,Bachelor's,Sales,Manager,1,13357,High,15,5,5,3,Yes,Travel_Rarely,9,Medium,Very High,Medium,Medium,3,11,0,4,4,11,16,Single,No,2014-07-05
EMP10008,52,Female,Bachelor's,It,Data Analyst,2,21674,Very High,32,6,1,1,No,Travel_Rarely,24,Medium,Medium,High,High,3,10,1,1,2,3,19,Married,No,
EMP10009,51,Female,Master's,Human Resources,Manager,2,17341,Very High,20,1,1,0,No,Travel_Frequently,30,Very High,Low,High,High,4,14,3,5,1,7,7,Married,No,2014-12-14
EMP10010,27,Male,Master's,Finance,Finance Manager,3,10878,High,1,0,0,0,No,Travel_Rarely,23,Medium,Very High,High,High,3,16,1,5,0,5,8,Married,No,2018-05-30
