EmployeeID,Age,Gender,Education,Department,JobRole,JobLevel,MonthlyIncome,SalarySlab,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,NumCompaniesWorked,SickLeaveDays,AbsentDays,MaritalStatus,Attrition,JoiningDate,EmployeeNumber
EMP10001,23,Male,Bachelor's,Research & Development,Laboratory Technician,1,25000.0,Very High,0,0.0,0,0,No,Travel_Frequently,22.0,High,Medium,High,Medium,3,18,3,5,0,1,18,Single,No,03-12-2013,528084
EMP10002,26,Female,Master's,Marketing,Marketing Executive,2,13564.0,High,0,0.0,0,0,NO,Travel_Rarely,15.0,Very High,Low,Low,Low,3,16,2,4,1,9,3,Married,No,06-02-2014,842920
EMP10003,54,Female,Master's,Finance,Finance Manager,2,0.0,Very High,27,0.0,0,0,No,Travel_Frequently,20.0,Low,Low,High,Very High,3,18,1,4,3,4,1,Married,No,01-04-2015,834848
EMP10004,28,Female,PhD,Human Resources,HR Executive,2,25000.0,Very High,3,2.0,2,1,No,Travel_Rarely,27.0,Very High,Medium,High,Medium,3,24,1,1,0,9,18,Single,No,26-03-2010,579630
EMP10005,27,Female,Master's,Sales,Sales Executive,2,25000.0,Very High,1,1.0,0,1,No,Travel_Rarely,28.0,High,Medium,Medium,Low,3,17,1,1,3,8,18,Married,No,04-10-2017,179704
EMP10006,36,Female,Bachelor's,Sales,Manager,2,25000.0,Very High,14,4.0,2,0,No,Travel_Frequently,22.0,High,Low,High,Low,3,19,3,0,3,4,9,Single,No,23-04-2025,342467
EMP10007,36,Male,Bachelor's,Sales,Manager,1,13357.0,High,15,5.0,5,3,Yes,Travel_Rarely,9.0,Medium,Very High,Medium,Medium,3,11,0,4,4,11,16,Single,No,05-07-2014,159785
EMP10008,52,Female,Bachelor's,IT,Data Analyst,2,21674.0,Very High,32,6.0,1,1,No,Travel_Rarely,24.0,Medium,Medium,High,High,3,10,1,1,2,3,19,Married,No,,128022
EMP10009,51,Female,Master's,Human Resources,Manager,2,17341.0,Very High,20,1.0,1,0,No,Travel_Frequently,30.0,Very High,Low,High,High,4,14,3,5,1,7,7,Married,No,14-12-2014,466129
EMP10010,27,Male,Master's,Finance,Finance Manager,3,10878.0,High,1,0.0,0,0,No,Travel_Rarely,23.0,Medium,Very High,High,High,3,16,1,5,0,5,8,Married,No,30-05-2018,672830
